No,Kode,Nama Matakuliah,SKS,Kelas/Rombel,Pengampu,Jenis,Ruang,Hari,Jam Mulai,Jam Selesai
1,,SEMANTIK BAHASA INGGRIS,2,AB,DRA.AGNES EMMIE KUSSEMIARTI M.Hum,,318,Selasa,08:00:00,09:40:00
2,,METODE PENELITIAN,2,AB,SRI SARASWATI M.A.,,318,Rabu,14:30:00,16:10:00
3,,METODE PENELITIAN,2,AB,SRI SARASWATI M.A.,,318,Selasa,10:00:00,11:40:00
4,,TELAAH SASTRA KONTEMPORER INGGRIS,2,AB,HILARIA DEWI HAPSARI M.Hum.,,312,Senin,12:30:00,14:10:00
5,,PENULISAN KREATIF II,2,AB,EMILIA TETTY HARJANI S.S. M.A.,,318,Selasa,08:00:00,09:40:00
6,,EVALUASI DAN TES,2,AB,SRI ENDAH SETIA RINI,,318,Rabu,12:30:00,14:10:00
7,,KRITIK SASTRA,2,AB,EMILIA TETTY HARJANI S.S. M.A.,,318,Kamis,10:00:00,11:40:00
8,,PRAGMATIK,2,AB,NUGRAHA KRISDIYANTA,,318,Rabu,08:00:00,09:40:00
9,,PRAKTEK MENGAJAR,2,AB,DRS. WIDIARNO,,Aula,Senin,14:30:00,16:10:00
10,,CAT II,2,B,ISMIATI S.S.M.HUM,,Lab Multimedia Lt.1,Kamis,14:30:00,16:10:00
11,,KETRAMPILAN MENULIS V,2,A,HESTHI HERUSATOTO M.A.,,315,Kamis,10:00:00,11:40:00
